#HFT Mesh-HWP v2 (GP - 2019/06/22) - HFSS simulations 					
#Freq [GHz]	Tx_Cap	Ax_Cap	Tx_Ind	Ax_Ind	DPh [deg]	Cx_Pol-45d	

410	0.97442	0.02335	0.96894	0.01744	171.94547	-23.17439
411	0.97465	0.02354	0.96653	0.01736	171.44285	-22.65092
412	0.97479	0.02372	0.96382	0.01728	170.9298	-22.15529
413	0.97485	0.02391	0.9608	0.0172	170.40633	-21.68749
414	0.97487	0.02409	0.95802	0.01712	169.86387	-21.21104
415	0.97482	0.02428	0.95512	0.01705	169.30813	-20.75026
416	0.97471	0.02447	0.95211	0.01697	168.73911	-20.30516
417	0.97453	0.02467	0.94896	0.01688	168.15682	-19.87572
418	0.97427	0.02486	0.9457	0.0168	167.56124	-19.46196
419	0.97411	0.02506	0.94302	0.01673	166.95731	-19.05374
420	0.97394	0.02527	0.94046	0.01667	166.34174	-18.65781
421	0.97375	0.02547	0.93801	0.0166	165.71454	-18.27418
422	0.97355	0.02569	0.93568	0.01655	165.0757	-17.90284
423	0.97333	0.0259	0.93346	0.01649	164.42523	-17.5438
424	0.97318	0.02613	0.93167	0.01644	163.78188	-17.19549
425	0.97303	0.02636	0.9301	0.0164	163.13316	-16.85895
426	0.9729	0.02659	0.92875	0.01637	162.47906	-16.53419
427	0.97278	0.02683	0.92762	0.01634	161.81957	-16.2212
428	0.97266	0.02708	0.92671	0.01631	161.15471	-15.91998
429	0.97241	0.02733	0.92548	0.01629	160.51064	-15.63138
430	0.97211	0.02758	0.92429	0.01626	159.86992	-15.35483
431	0.97177	0.02784	0.92314	0.01624	159.23255	-15.09034
432	0.97139	0.0281	0.92203	0.01622	158.59852	-14.8379
433	0.97097	0.02836	0.92095	0.0162	157.96783	-14.59752
434	0.97021	0.02863	0.91835	0.01616	157.35791	-14.36814
435	0.96929	0.02889	0.91527	0.01611	156.75714	-14.15047
436	0.96824	0.02916	0.9117	0.01606	156.16552	-13.9445
437	0.96704	0.02942	0.90766	0.01601	155.58305	-13.75024
438	0.9657	0.02969	0.90312	0.01594	155.00973	-13.56769
439	0.96406	0.02996	0.89615	0.01585	154.42751	-13.38657
440	0.96223	0.03023	0.88804	0.01574	153.84844	-13.21373
441	0.96021	0.0305	0.87879	0.01562	153.2725	-13.04918
442	0.95799	0.03077	0.8684	0.01548	152.69969	-12.89291
443	0.95557	0.03103	0.85688	0.01533	152.13002	-12.74492
444	0.95322	0.03132	0.84349	0.01516	151.4898	-12.58055
445	0.95076	0.03161	0.82873	0.01498	150.82815	-12.41625
446	0.94819	0.03191	0.81259	0.01478	150.14507	-12.25201
447	0.94552	0.03221	0.79507	0.01457	149.44057	-12.08783
448	0.94273	0.03252	0.77618	0.01434	148.71464	-11.92371
